>Y8.M034_1
114	1679	-	3	1.269919	I:	D:
1682	4360	-	2	1.282842	I:	D:
4515	5684	-	3	1.220585	I:	D:
5751	7142	-	3	1.269356	I:	D:
7254	7550	+	3	1.199032	I:	D:
7661	8479	-	2	1.229781	I:	D:
8583	8879	-	3	1.303802	I:	D:
9170	10090	+	2	1.243368	I:	D:
10209	11480	+	3	1.239109	I:	D:
11537	13180	+	2	1.233315	I:	D:
13285	13974	+	1	1.186248	I:	D:
14507	15259	-	2	1.202881	I:	D:
15340	16464	+	1	1.254441	I:	D:
16917	19220	+	3	1.290182	I:	D:
19283	21559	+	2	1.278490	I:	D:
21719	22804	+	2	1.302143	I:	D:
23098	24183	+	1	1.272189	I:	D:
24276	25841	+	3	1.327875	I:	D:
25838	26965	+	2	1.319515	I:	D:
26962	28236	+	1	1.277014	I:	D:
28242	28733	+	3	1.288530	I:	D:
28672	30006	+	1	1.290257	I:	D:
30040	31038	+	1	1.350790	I:	D:
31133	31840	+	2	1.272359	I:	D:
31861	32514	+	1	1.230419	I:	D:
32518	34191	+	1	1.209858	I:	D:
34274	35095	+	2	1.245874	I:	D:
35092	35463	+	1	1.177382	I:	D:
35579	36001	-	2	1.227424	I:	D:
36092	37435	-	2	1.247726	I:	D:
36844	37923	-	1	1.269927	I:	D:
37920	38957	-	3	1.237134	I:	D:
39014	40018	-	2	1.224591	I:	D:
40247	42328	-	2	1.208153	I:	D:
42350	43105	-	2	1.299241	I:	D:
43210	44220	+	1	1.237452	I:	D:
44223	45122	+	3	1.268305	I:	D:
46393	47148	-	1	1.279590	I:	D:
47841	49040	-	3	1.200513	I:	D:
49136	50614	-	2	1.179482	I:	D:
50418	51080	+	3	1.326768	I:	D:
51249	52580	+	3	1.224663	I:	D:
52753	55008	+	1	1.240521	I:	D:
55163	56845	+	2	1.219438	I:	D:
57010	58410	-	1	1.336746	I:	D:
58572	59390	+	3	1.339166	I:	D:
59449	59610	+	1	1.353362	I:	D:
59684	60784	-	2	1.274898	I:	D:
60918	61907	+	3	1.199028	I:	D:
62981	63487	-	2	1.349563	I:	D:
66378	67397	+	3	1.214699	I:	D:
67782	68219	+	3	1.264726	I:	D:
68216	68986	+	2	1.284190	I:	D:
68979	69887	+	3	1.283452	I:	D:
69884	71272	+	2	1.251359	I:	D:
71269	72606	+	1	1.243187	I:	D:
72750	74117	+	3	1.294619	I:	D:
74272	74706	+	1	1.377927	I:	D:
74808	76229	+	3	1.289895	I:	D:
76346	79858	+	2	1.269320	I:	D:
80086	83556	+	1	1.273187	I:	D:
83561	84346	+	2	1.298031	I:	D:
85180	85875	-	1	1.279342	I:	D:
86308	87597	+	1	1.248507	I:	D:
87678	88502	+	3	1.243513	I:	D:
88629	89456	+	3	1.249577	I:	D:
89525	89815	+	2	1.325402	I:	D:
89955	90503	-	3	1.310284	I:	D:
90601	91872	+	1	1.305687	I:	D:
91976	92839	+	2	1.251308	I:	D:
92757	93431	+	3	1.247897	I:	D:
93450	97067	+	3	1.219315	I:	D:
97128	97739	+	3	1.326509	I:	D:
97857	99197	+	3	1.214000	I:	D:
99307	100080	+	1	1.325528	I:	D:
100077	100586	+	3	1.253683	I:	D:
100647	101624	+	3	1.219156	I:	D:
101890	102864	+	1	1.235216	I:	D:
102910	103308	+	1	1.178095	I:	D:
103380	104006	-	3	1.277096	I:	D:
104221	105618	+	1	1.249343	I:	D:
105719	106306	-	2	1.241370	I:	D:
106317	107000	-	3	1.280687	I:	D:
107175	107936	+	3	1.252331	I:	D:
108021	108953	-	3	1.261760	I:	D:
108996	109226	-	3	1.322981	I:	D:
109285	110691	-	1	1.246872	I:	D:
110748	111815	+	3	1.219860	I:	D:
111904	113235	+	1	1.262726	I:	D:
113431	114741	+	1	1.284066	I:	D:
114818	115918	+	2	1.194116	I:	D:
116203	116886	-	1	1.378190	I:	D:
116887	117447	-	1	1.377371	I:	D:
117585	119255	+	3	1.368955	I:	D:
119581	120360	-	1	1.314100	I:	D:
120399	120887	+	3	1.295680	I:	D:
121497	121796	+	3	1.316743	I:	D:
121973	122260	+	2	1.282197	I:	D:
122409	122591	+	3	1.305753	I:	D:
123341	124255	-	2	1.353736	I:	D:
124294	124881	+	1	1.349830	I:	D:
124952	128395	+	2	1.235918	I:	D:
128493	128813	+	3	1.213298	I:	D:
129041	129745	+	2	1.247962	I:	D:
129806	130453	-	2	1.328032	I:	D:
130467	131015	-	3	1.314421	I:	D:
131012	131425	-	2	1.361036	I:	D:
131431	131607	-	1	1.309718	I:	D:
131640	132083	-	3	1.211111	I:	D:
132662	133201	+	2	1.389552	I:	D:
133501	133764	+	1	1.393216	I:	D:
135048	137225	+	3	1.308663	I:	D:
137249	138277	+	2	1.259166	I:	D:
138453	138926	+	3	1.333379	I:	D:
139158	139442	+	3	1.243026	I:	D:
