>YB2_770
3	2549	-	3	1.314880	I:	D:
2683	6366	-	1	1.330854	I:	D:
6326	9655	-	2	1.338841	I:	D:
9712	10452	-	1	1.296675	I:	D:
10641	11141	+	3	1.339558	I:	D:
11199	12158	-	3	1.319545	I:	D:
12232	13056	-	1	1.340574	I:	D:
13074	14897	-	3	1.332084	I:	D:
15022	17169	+	1	1.313013	I:	D:
17185	17535	+	1	1.285615	I:	D:
17532	19277	+	3	1.341530	I:	D:
19445	19594	-	2	1.406710	I:	D:
19870	21540	-	1	1.309899	I:	D:
22087	23505	+	1	1.307181	I:	D:
23724	23945	+	3	1.365719	I:	D:
24688	24816	+	1	1.336560	I:	D:
24899	25732	-	2	1.320029	I:	D:
25777	25977	-	1	1.359225	I:	D:
26086	26499	-	1	1.332703	I:	D:
26524	27915	-	1	1.305175	I:	D:
27936	28829	-	3	1.318391	I:	D:
28865	30361	-	2	1.307802	I:	D:
30367	30888	-	1	1.303319	I:	D:
30866	31318	-	2	1.277110	I:	D:
31371	31598	-	3	1.306718	I:	D:
31645	32379	-	1	1.331488	I:	D:
32653	33606	-	1	1.335099	I:	D:
33651	34409	+	3	1.350637	I:	D:
34415	35470	-	2	1.304025	I:	D:
35894	37072	-	2	1.311337	I:	D:
37075	37692	-	1	1.291463	I:	D:
37741	40035	-	1	1.333799	I:	D:
40036	40503	-	1	1.346709	I:	D:
40529	41443	-	2	1.322959	I:	D:
41480	41614	-	2	1.416017	I:	D:
41983	43050	+	1	1.299819	I:	D:
43064	44065	+	2	1.340087	I:	D:
44065	44862	+	1	1.345640	I:	D:
45278	45619	-	2	1.359339	I:	D:
45982	47406	-	1	1.300922	I:	D:
47503	48210	-	1	1.334727	I:	D:
48366	48527	+	3	1.329999	I:	D:
48661	49119	-	1	1.335572	I:	D:
49193	50512	-	2	1.313078	I:	D:
50678	50842	-	2	1.364020	I:	D:
50900	51649	-	2	1.273507	I:	D:
51649	51972	-	1	1.274125	I:	D:
51932	52066	-	2	1.190863	I:	D:
>YB2_1346
3	1100	-	3	1.276024	I:	D:
1117	1902	-	1	1.265880	I:	D:
1938	3182	-	3	1.274647	I:	D:
3377	3556	-	2	1.398238	I:	D:
>YB2_3700
2	244	+	2	1.362577	I:	D:
288	425	+	3	1.280630	I:	D:
445	1245	+	1	1.322595	I:	D:
1267	2022	+	1	1.294466	I:	D:
2037	2684	+	3	1.277954	I:	D:
2712	3317	+	3	1.286038	I:	D:
3919	5277	+	1	1.280806	I:	D:
5347	5769	+	1	1.306782	I:	D:
5946	6722	+	3	1.269887	I:	D:
7299	7673	+	3	1.353569	I:	D:
7762	9654	+	1	1.349977	I:	D:
9648	11330	+	3	1.347069	I:	D:
12040	13521	+	1	1.354329	I:	D:
13645	14820	+	1	1.367576	I:	D:
14844	14981	+	3	1.335842	I:	D:
15041	16381	-	2	1.245952	I:	D:
16593	17135	+	3	1.347888	I:	D:
17827	18717	+	1	1.324218	I:	D:
18831	19451	+	3	1.386787	I:	D:
19448	19906	+	2	1.333613	I:	D:
20040	20543	-	3	1.353197	I:	D:
20922	21920	+	3	1.308200	I:	D:
22024	22794	+	1	1.310829	I:	D:
22834	23667	+	1	1.316364	I:	D:
23682	24116	+	3	1.293294	I:	D:
24142	26409	+	1	1.337732	I:	D:
26456	27187	+	2	1.371875	I:	D:
27255	27671	+	3	1.359443	I:	D:
27758	28060	+	2	1.298204	I:	D:
28075	28587	+	1	1.338885	I:	D:
28797	30737	+	3	1.323488	I:	D:
30763	32334	+	1	1.315999	I:	D:
32402	33958	+	2	1.315089	I:	D:
34058	34513	+	2	1.307816	I:	D:
34515	34736	+	3	1.296339	I:	D:
34865	35317	+	2	1.321837	I:	D:
